GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
ADC73536-65C6-4641-A08F-8166F7003F71,,,,,,CR,vom Aussterben bedroht,A2b; B1ab(iv)+2ab(iv),"nur noch aus d. Tessin bekannt, auf d. Alpennordseite letzter Fund 1905"
ADD7A6FD-BE74-4FFB-8B9C-29A8D8915ED5,,,,,,NT,potentiell gefährdet,A2b,
AE17AE2F-8D36-4BB5-A346-0F20EB53FE23,,,,,,NE,nicht evaluiert,,
AE19068B-E223-4DD2-9EBB-844481034894,,,,,,LC,nicht gefährdet,,
AE33F82B-3A68-4C2D-A15A-455166A84D7B,,,,R,rare,VU,verletzlich,D2,
AE84BA6F-D265-4D5C-9B95-0C62C8E322B7,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, letzter Fund 1911"
AE9BF925-C357-43D0-A1F4-62D67469332E,,,,,,VU,verletzlich,D2,
AF14B632-5F97-4C77-8E3C-D24298C3613C,,,,,,LC,nicht gefährdet,,
AF22CB50-028C-4EF0-B097-962E9E0F7F6F,,,,,,LC,nicht gefährdet,,
AF706D9B-3EEA-45A1-BF4C-639FBF3109A7,,,,,,LC,nicht gefährdet,,
AF8111D1-AA3F-4F42-A74D-32F436DC9664,,,,,,LC,nicht gefährdet,,
AF8291A3-CE86-4EC6-88B2-66DDA3F1E095,,,,,,NE,nicht evaluiert,,
AFA09601-9236-4A0D-98D5-F0711C87E52E,,,,,,VU,verletzlich,D2,
B06CE022-633F-4A3B-BA07-018588A0470B,,,,,,NT,potentiell gefährdet,A2b,
B092F410-D323-462E-8654-49603BB60AE8,,,,,,LC,nicht gefährdet,,
B0959D99-16BE-4BC3-9B4B-B5D7BA49E1DB,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
B09CF07B-5AF4-4326-AE9F-24BFFA6D532B,,,,,,NE,nicht evaluiert,,
B0BD5197-86E9-4EFB-9997-D66C863FFC45,,,,,,,,,heutige Verbreitung nicht bekannt
B0C25CD8-EFAF-4082-978F-CD9218D1AF2C,,,,,,DD,ungenügende Datengrundlage,,
B0E72073-4DAB-4020-BDF2-63BF232C15D8,,,,,,NT,potentiell gefährdet,,abhängig vom Moorschutz
B10B1FBE-6254-4B9B-9B59-702B7D5A9E83,,,,,,LC,nicht gefährdet,,
B14B5FCB-5EC1-4D67-A15B-9F917CED5DBC,,,,,,LC,nicht gefährdet,,
B14D9156-708C-49BB-9D89-40B163DB7D22,,,,,,LC,nicht gefährdet,,
B19B772A-94F2-43BE-9AD3-EFFFF7DEFDBE,,,,,,LC,nicht gefährdet,,
B218929B-0310-410A-B505-20C7EABE313C,,,,,,VU,verletzlich,D2,
